UserId,TourId,Rating
1,1,4
1,3,4
1,6,4
1,47,5
1,50,5
1,70,3
1,101,5
1,110,4
1,151,5
1,157,5
1,163,5
1,216,5
1,223,3
1,231,5
1,235,4
1,260,5
1,296,3
1,316,3
1,333,5
1,349,4
1,356,4
1,362,5
1,367,4
1,423,3
1,441,4
1,457,5
1,480,4
1,500,3
1,527,5
1,543,4
1,552,4
1,553,5
1,590,4
1,592,4
1,593,4
1,596,5
1,608,5
1,648,3
1,661,5
1,673,3
1,733,4
1,736,3
1,780,3
1,804,4
1,919,5
1,923,5
1,940,5
1,943,4
1,954,5
1,1009,3
1,1023,5
1,1024,5
1,1025,5
2,318,3
2,333,4
3,31,0.5
3,527,0.5
3,647,0.5
3,688,0.5
3,720,0.5
3,849,5
3,914,0.5
4,21,3
4,32,2
4,45,3
4,47,2
4,52,3
4,58,3
4,106,4
4,125,5
4,126,1
4,162,5
4,171,3
4,176,5
4,190,2
4,215,5
4,222,1
4,232,5
4,235,2
4,247,3
4,260,5
4,265,5
4,296,1
4,319,5
4,342,5
4,345,4
4,348,4
4,351,3
4,357,3
4,368,4
4,417,2
4,441,1
4,450,2
4,457,5
4,475,5
4,492,5
4,509,1
4,538,5
4,539,1
4,553,2
4,588,4
4,593,5
4,595,3
4,599,2
4,608,5
4,648,3
4,708,4
4,759,3
4,800,4
4,892,4
4,898,5
4,899,4
4,902,4
4,904,4
4,908,5
4,910,5
4,912,5
4,914,5
4,919,5
4,920,5
4,930,5
4,937,3
4,1025,4
5,1,4
5,21,4
5,34,4
5,36,4
5,39,3
5,50,4
5,58,5
5,110,4
5,150,3
5,153,3
5,232,4
5,247,5
5,253,3
5,261,4
5,265,3
5,266,1
5,290,5
5,296,5
5,300,3
5,316,2
5,318,3
5,344,3
5,349,3
5,357,2
5,364,3
5,367,4
5,380,2
5,410,3
5,457,4
5,474,4
5,475,5
5,515,3
5,527,5
5,531,4
5,534,3
5,588,4
5,589,3
5,590,5
5,592,3
5,594,5
5,595,5
5,596,5
5,597,3
5,608,3
6,2,4
6,3,5
6,4,3
6,5,5
6,6,4
6,7,4
6,8,3
6,10,3
6,11,4
6,13,3
6,15,4
6,16,4
6,17,4
6,19,2
6,21,2
6,22,5
6,24,4
6,25,3
6,26,4
6,27,3
6,31,3
6,32,4
6,34,4
6,36,5
6,41,4
6,43,4
6,45,3
6,46,4
6,47,4
6,50,1
6,54,4
6,60,4
6,61,4
6,62,4
6,65,3
6,66,3
6,76,4
6,79,3
6,86,5
6,87,3
6,88,2
6,89,4
6,92,4
6,93,4
6,95,4
6,100,3
6,102,1
6,104,4
6,105,3
6,110,5
6,112,4
6,113,3
6,126,3
6,135,3
6,140,3
6,141,4
6,145,4
6,146,4
6,150,4
6,151,4
6,153,3
6,158,4
6,159,3
6,160,5
6,161,3
6,163,3
6,165,3
6,168,5
6,170,3
6,171,3
6,174,3
6,177,3
6,179,1
6,180,2
6,181,3
6,185,3
6,186,3
6,189,3
6,191,2
6,195,4
6,196,3
6,201,3
6,204,3
6,205,3
6,207,4
6,208,3
6,209,3
6,210,4
6,212,4
6,216,4
6,217,3
6,218,2
6,219,3
6,222,4
6,224,3
6,225,4
6,230,5
6,231,3
6,234,2
6,236,4
6,237,4
6,239,3
6,240,3
6,243,3
6,248,5
6,250,4
6,251,3
6,252,4
6,253,3
6,254,3
6,256,3
6,257,5
6,258,3
6,261,4
6,262,5
6,265,3
6,266,3
6,267,3
6,270,3
6,271,4
6,273,3
6,274,4
6,276,4
6,277,5
6,279,3
6,281,4
6,282,3
6,288,2
6,289,3
6,291,3
6,292,4
6,293,3
6,296,2
6,302,3
6,303,3
6,304,4
6,310,3
6,312,1
6,313,3
6,314,5
6,315,4
6,316,5
6,317,4
6,318,5
6,327,1
6,329,4
6,330,3
6,332,3
6,333,5
6,336,3
6,337,5
6,339,4
6,340,4
6,342,3
6,343,3
6,344,3
6,347,3
6,348,3
6,349,5
6,350,5
6,351,4
6,352,3
6,353,4
6,354,4
6,355,4
6,356,5
6,357,3
6,358,3
6,359,3
6,360,3
6,361,4
6,362,3
6,364,5
6,366,3
6,367,4
6,368,5
6,370,4
6,371,3
6,374,3
6,377,5
6,378,3
6,380,4
6,381,3
6,382,3
6,383,3
6,405,3
6,410,3
6,412,3
6,415,4
6,416,3
6,419,3
6,426,3
6,432,5
6,434,4
6,435,3
6,437,3
6,440,4
6,445,3
6,450,4
6,454,4
6,455,3
6,457,5
6,458,3
6,460,3
6,466,2
6,468,4
6,469,4
6,472,3
6,474,4
6,475,4
6,477,4
6,480,5
6,485,3
6,489,3
6,490,3
6,491,4
6,493,3
6,494,3
6,497,3
6,500,5
6,502,3
6,505,3
6,508,4
6,509,3
6,510,3
6,515,4
6,516,4
6,520,3
6,524,3
6,527,3
6,531,3
6,532,3
6,536,3
6,537,3
6,539,3
6,540,3
6,542,4
6,543,3
6,546,2
6,548,3
6,552,3
6,553,5
6,569,4
6,575,3
6,587,5
6,588,5
6,589,3
6,590,5
6,592,3
6,593,4
6,594,4
6,595,5
